0	8	1
0	70	1
0	81	1
0	123	1
0	8	1
0	70	1
0	81	1
0	123	1
1	17	1
1	20	1
1	28	1
1	30	1
1	47	1
1	51	1
1	63	1
1	74	1
1	78	1
1	81	1
1	91	1
1	101	1
1	102	1
1	17	1
1	20	1
1	28	1
1	30	1
1	47	1
1	51	1
1	63	1
1	74	1
1	78	1
1	81	1
1	91	1
1	101	1
1	102	1
2	18	1
2	27	1
2	56	1
2	84	1
2	85	1
2	87	1
2	88	1
2	90	1
2	18	1
2	27	1
2	56	1
2	84	1
2	85	1
2	87	1
2	88	1
2	90	1
3	21	1
3	31	1
3	21	1
3	31	1
4	15	1
4	22	1
4	73	1
4	15	1
4	22	1
4	73	1
5	9	1
5	45	1
5	46	1
5	50	1
5	65	1
5	9	1
5	45	1
5	46	1
5	50	1
5	65	1
6	14	1
6	36	1
6	66	1
6	67	1
6	14	1
6	36	1
6	66	1
6	67	1
7	65	1
7	89	1
7	103	1
7	65	1
7	89	1
7	103	1
8	0	1
8	51	1
8	54	1
8	57	1
8	70	1
8	72	1
8	74	1
8	77	1
8	81	1
8	91	1
8	102	1
8	123	1
8	0	1
8	51	1
8	54	1
8	57	1
8	70	1
8	72	1
8	74	1
8	77	1
8	81	1
8	91	1
8	102	1
8	123	1
9	5	1
9	45	1
9	46	1
9	50	1
9	65	1
9	95	1
9	112	1
9	5	1
9	45	1
9	46	1
9	50	1
9	65	1
9	95	1
9	112	1
10	12	1
10	59	1
10	61	1
10	64	1
10	69	1
10	71	1
10	112	1
10	123	1
10	12	1
10	59	1
10	61	1
10	64	1
10	69	1
10	71	1
10	112	1
10	123	1
11	94	1
11	117	1
11	119	1
11	94	1
11	117	1
11	119	1
12	10	1
12	54	1
12	69	1
12	71	1
12	76	1
12	112	1
12	10	1
12	54	1
12	69	1
12	71	1
12	76	1
12	112	1
13	20	1
13	73	1
13	78	1
13	113	1
13	20	1
13	73	1
13	78	1
13	113	1
14	6	1
14	44	1
14	66	1
14	67	1
14	103	1
14	107	1
14	6	1
14	44	1
14	66	1
14	67	1
14	103	1
14	107	1
15	4	1
15	34	1
15	35	1
15	111	1
15	117	1
15	4	1
15	34	1
15	35	1
15	111	1
15	117	1
16	94	1
16	117	1
16	119	1
16	94	1
16	117	1
16	119	1
17	1	1
17	20	1
17	39	1
17	74	1
17	102	1
17	1	1
17	20	1
17	39	1
17	74	1
17	102	1
18	2	1
18	84	1
18	85	1
18	90	1
18	2	1
18	84	1
18	85	1
18	90	1
19	33	1
19	33	1
20	1	1
20	13	1
20	17	1
20	30	1
20	98	1
20	102	1
20	113	1
20	1	1
20	13	1
20	17	1
20	30	1
20	98	1
20	102	1
20	113	1
21	3	1
21	24	1
21	29	1
21	31	1
21	38	1
21	52	1
21	58	1
21	60	1
21	79	1
21	121	1
21	3	1
21	24	1
21	29	1
