1	1	0.0787879	
1	2	17.65	
1	3	5	
1	4	0.163636	
1	5	0.568279	
1	6	165	
1	7	-1	
1	8	14.3152	
1	9	0	
1	10	5	
1	11	9.89697	
1	12	56.99	
1	13	0.0606061	
1	14	145	
1	15	0.678788	
1	16	142	
1	17	1	
1	18	0	
1	19	2362	
1	20	10670	
1	21	17	
1	22	137	
1	23	2	
1	24	4.38182	
1	25	5.62424	
1	26	1	
1	27	5	
1	28	0.0181818	
2	1	0.136691	
2	2	14.35	
2	3	2	
2	4	0.215827	
2	5	0.638526	
2	6	139	
2	7	-1	
2	8	12.705	
2	9	0	
2	10	3	
2	11	6.05036	
2	12	68.98	
2	13	0.23741	
2	14	72	
2	15	0.194245	
2	16	123	
2	17	5	
2	18	0	
2	19	1766	
2	20	2431	
2	21	24	
2	22	63	
2	23	2	
2	24	2.91367	
2	25	3.86331	
2	26	4	
2	27	-1	
2	28	0.215827	
3	1	0	
3	2	4	
3	3	2	
3	4	0.2	
3	5	0.923077	
3	6	5	
3	7	-1	
3	8	156.2	
3	9	0	
3	10	2	
3	11	2.6	
3	12	9.98	
3	13	0.2	
3	14	9	
3	15	0.2	
3	16	5	
3	17	1	
3	18	0	
3	19	781	
3	20	35904	
3	21	26	
3	22	8	
3	23	2	
3	24	2.8	
3	25	2.4	
3	26	1	
3	27	-1	
3	28	0.4	
4	1	0.0869565	
4	2	3.56	
4	3	3	
4	4	0.130435	
4	5	0.377778	
4	6	23	
4	7	8.8	
4	8	64.8696	
4	9	0	
4	10	3	
4	11	1.95652	
4	12	6.02	
4	13	0.478261	
4	14	5	
4	15	0.26087	
4	16	17	
4	17	1	
4	18	0	
4	19	1492	
4	20	26796	
4	21	39	
4	22	2	
4	23	2	
4	24	2.65217	
4	25	0.73913	
4	26	1	
4	27	1	
4	28	0.0434783	
5	1	0.108696	
5	2	0.54	
5	3	4	
5	4	0.224638	
5	5	0.566807	
5	6	138	
5	7	9.99	
5	8	7.26812	
5	9	0	
5	10	4	
5	11	5.15217	
5	12	3	
5	13	0.0434783	
5	14	46	
5	15	0.572464	
5	16	117	
5	17	3	
5	18	0	
5	19	1003	
5	20	30950	
5	21	24	
5	22	40	
5	23	2	
5	24	4.23188	
5	25	2.92029	
5	26	3	
5	27	-1	
5	28	0.0507246	
6	1	0.380952	
6	2	2.25	
6	3	4	
6	4	0.333333	
6	5	0.577922	
6	6	21	
6	7	32.99	
6	8	71.3333	
6	9	0	
6	10	4	
6	11	7.33333	
6	12	14.89	
6	13	0.142857	
6	14	18	
6	15	0.047619	
6	16	20	
6	17	1	
6	18	0	
6	19	1498	
6	20	18789	
6	21	20	
6	22	11	
6	23	2	
6	24	3.04762	
6	25	4.2381	
6	26	4	
6	27	-1	
6	28	0.0952381	
7	1	0.0888889	
7	2	6.99	
7	3	5	
7	4	0.177778	
7	5	0.692557	
7	6	45	
7	7	-1	
7	8	43.2889	
7	9	0	
7	10	5	
7	11	6.86667	
7	12	29.98	
7	13	0.0666667	
7	14	54	
7	15	0.533333	
7	16	43	
7	17	5	
7	18	0	
7	19	1948	
7	20	2854	
7	21	14	
7	22	37	
7	23	2	
7	24	3.97778	
7	25	4.75556	
7	26	5	
7	27	-1	
7	28	0.133333	
8	1	0.103448	
8	2	8.48	
8	3	3	
8	4	0.206897	
8	5	0.670213	
8	6	29	
8	7	44.99	
8	8	33.1379	
8	9	0	
8	10	3	
8	11	3.24138	
8	12	25	
8	13	0.172414	
8	14	9	
8	15	0.206897	
8	16	28	
8	17	2	
8	18	0	
8	19	961	
8	20	11084	
8	21	12	
8	22	7	
8	23	2	
8	24	2.96552	
8	25	2.17241	
8	26	4	
8	27	-1	
8	28	0.310345	
9	1	0.0606061	
9	2	10	
9	3	5	
9	4	0.175758	
9	5	0.473736	
9	6	165	
9	7	-1	
9	8	14.1333	
9	9	0	
9	10	5	
9	11	6.11515	
9	12	24.75	
9	13	0.0363636	
9	14	74	
9	15	0.70303	
9	16	141	
9	17	2	
9	18	0	
9	19	2332	
9	20	467	
9	21	11	
9	22	39	
9	23	2	
9	24	4.48485	
9	25	2.89697	
9	26	5	
9	27	5	
9	28	0.0242424	
10	1	0.125	
10	2	10.87	
10	3	4	
10	4	0.354167	
10	5	0.57767	
10	6	48	
10	7	16.99	
10	8	42.1042	
10	9	0	
10	10	4	
10	11	4.29167	
10	12	13.02	
10	13	0.0625	
10	14	23	
10	15	0.354167	
10	16	46	
10	17	3	
10	18	0	
10	19	2021	
10	20	6221	
10	21	16	
10	22	15	
10	23	2	
10	24	3.83333	
10	25	2.47917	
10	26	3	
10	27	4	
10	28	0.104167	
11	1	0.0227273	
11	2	9.85	
11	3	5	
11	4	0.193182	
11	5	0.562327	
11	6	88	
11	7	34.98	
11	8	23.5227	
11	9	0	
11	10	5	
11	11	4.10227	
11	12	27.73	
11	13	0.0909091	
11	14	23	
11	15	0.670455	
11	16	86	
11	17	1	
11	18	0	
11	19	2070	
11	20	2304	
11	21	26	
11	22	17	
11	23	2	
11	24	4.32955	
11	25	2.30682	
11	26	1	
11	27	5	
11	28	0.0227273	
12	1	0.060241	
12	2	9.19	
12	3	5	
12	4	0.125301	
12	5	0.412731	
12	6	415	
12	7	-1	
12	8	5.60482	
12	9	0	
12	10	5	
12	11	2.34699	
12	12	29.95	
12	13	0.0385542	
12	14	49	
12	15	0.737349	
12	16	243	
12	17	2	
12	18	0	
12	19	2326	
12	20	30566	
12	21	28	
12	22	27	
12	23	2	
12	24	4.48434	
12	25	0.968675	
12	26	5	
12	27	5	
12	28	0.0385542	
13	1	0.106383	
13	2	4.37	
13	3	5	
13	4	0.170213	
13	5	0.525424	
13	6	47	
13	7	28.64	
13	8	52.6383	
13	9	0	
13	10	5	
13	11	3.76596	
13	12	15.99	
13	13	0.0638298	
13	14	14	
13	15	0.638298	
13	16	43	
13	17	1	
13	18	0	
13	19	2474	
13	20	7220	
13	21	22	
13	22	8	
13	23	2	
13	24	4.29787	
13	25	1.97872	
13	26	5	
13	27	5	
13	28	0.0212766	
14	1	0.0714286	
14	2	2.05	
14	3	1	
14	4	0.142857	
14	5	0.634328	
14	6	42	
14	7	20.19	
14	8	20.3095	
14	9	0	
14	10	2	
14	11	3.19048	
14	12	17.47	
14	13	0.52381	
14	14	25	
14	15	0.0714286	
14	16	38	
14	17	1	
14	18	0	
14	19	853	
14	20	8475	
14	21	8	
14	22	14	
14	23	2	
14	24	2.04762	
